RANK_2025,RANK_2024,Institution_Name,Location,Region,SIZE,FOCUS,RES.,STATUS,Academic_Reputation_Score,Academic_Reputation_Rank,Employer_Reputation_Score,Employer_Reputation_Rank,Faculty_Student_Score,Faculty_Student_Rank,Citations_per_Faculty_Score,Citations_per_Faculty_Rank,International_Faculty_Score,International_Faculty_Rank,International_Students_Score,International_Students_Rank,International_Research_Network_Score,International_Research_Network_Rank,Employment_Outcomes_Score,Employment_Outcomes_Rank,Sustainability_Score,Sustainability_Rank,Overall_Score
1201-1400,1201-1400,University of International Business and Economics,China (Mainland),Asia,L,FO,HI,A,3.7,601+,2.3,601+,9.7,701+,3,701+,7,701+,30.3,425,5.3,701+,14,692,1.1,701+,
1201-1400,1401+,University of Kragujevac,Serbia,Europe,L,FO,VH,A,3.9,601+,3,601+,8.5,701+,3.7,701+,1,701+,1.1,701+,44.1,701+,9.3,701+,1,701+,
1201-1400,1201-1400,University of Kufa,Iraq,Asia,L,FC,HI,A,4.4,601+,12.8,601+,29,535,1.4,701+,4.4,701+,1.1,701+,16.4,701+,4.2,701+,1,701+,
1201-1400,1201-1400,University of Memphis,United States,Americas,L,CO,VH,A,3.1,601+,2.5,601+,12.1,701+,8,701+,2.2,701+,8.3,701+,39.4,701+,7.6,701+,2.1,701+,
1201-1400,1201-1400,University of Miskolc ,Hungary,Europe,M,FO,VH,B,6.6,601+,5.7,601+,18.6,701+,2.4,701+,3.1,701+,3.8,701+,19.2,701+,13,701+,1,701+,
1201-1400,1201-1400,University of Missouri Saint Louis,United States,Americas,M,SP,VH,A,4.2,601+,4.2,601+,12.3,701+,10.5,701+,3.4,701+,3.1,701+,9.8,701+,7.7,701+,1,701+,
1201-1400,1201-1400,University of Ni,Serbia,Europe,L,FC,HI,A,5,601+,5.5,601+,12.5,701+,2.4,701+,,,5.7,701+,49,701+,4,701+,1,701+,
1201-1400,1201-1400,University of North Carolina at Greensboro,United States,Americas,L,CO,HI,A,2.6,601+,2.4,601+,8.9,701+,10.1,701+,5.9,701+,3.4,701+,50.7,701+,1.5,701+,1.6,701+,
1201-1400,1201-1400,University of Ostrava,Czech Republic,Europe,M,FC,HI,A,6.3,601+,1.1,601+,15.6,701+,3.6,701+,27.7,509,16.6,592,27,701+,2.9,701+,1,701+,
1201-1400,1201-1400,University of Pannonia,Hungary,Europe,S,FO,VH,A,4.2,601+,4,601+,22,637,8.5,701+,3.3,701+,8.3,701+,44.7,701+,4,701+,1,701+,
1201-1400,1001-1200,University of Pardubice,Czech Republic,Europe,M,FO,VH,A,4.5,601+,2.3,601+,44.5,348,3.1,701+,9.7,701+,8.8,701+,18.7,701+,1.7,701+,1,701+,
1201-1400,1201-1400,University of Peradeniya ,Sri Lanka,Asia,L,CO,HI,A,9,601+,11.6,601+,12,701+,2,701+,1,701+,1.3,701+,22.7,701+,10.9,701+,5.8,701+,
1201-1400,1001-1200,University of Primorska,Slovenia,Europe,M,CO,HI,A,3.7,601+,2.5,601+,8.9,701+,4.1,701+,25,534,26.4,459,46.3,701+,4.2,701+,1,701+,
1201-1400,1201-1400,University of Rijeka,Croatia,Europe,L,CO,HI,A,6.1,601+,4.3,601+,13.8,701+,4.3,701+,2.5,701+,1.8,701+,45.8,701+,12,701+,2.9,701+,
1201-1400,1201-1400,University of Rzesz_,Poland,Europe,L,FC,HI,A,5.2,601+,1.8,601+,15.1,701+,2.7,701+,,,1.7,701+,28.3,701+,3,701+,1,701+,
1201-1400,1201-1400,University of San Diego,United States,Americas,M,CO,HI,B,6.2,601+,7,601+,25.5,581,2.7,701+,3.1,701+,6.8,701+,5.5,701+,12.2,701+,1,701+,
1201-1400,1001-1200,University of San Francisco,United States,Americas,M,CO,HI,B,5.9,601+,4.4,601+,18.7,701+,3.6,701+,2.3,701+,20.2,534,6,701+,29.5,422,1.2,701+,
1201-1400,1201-1400,University of Silesia in Katowice,Poland,Europe,L,CO,VH,A,5.4,601+,4.2,601+,20.3,664,3.1,701+,3.5,701+,3.9,701+,52.5,701+,7.4,701+,2.4,701+,
1201-1400,1201-1400,University of South Alabama (USA),United States,Americas,M,CO,VH,A,4.7,601+,5.9,601+,19,700,6.1,701+,,,2.1,701+,13.6,701+,2.3,701+,1.2,701+,
